,model,acc_rate,background_precision,background_recall,background_F1,question_precision,question_recall,question_F1,background_sim_score,question_sim_score
0,0.5B-Qwen25,0.27102803738317754,0.16205607476635514,0.44738317757009344,0.224392523364486,0.03626168224299065,0.6599065420560748,0.06560747663551403,0.5145878504672897,0.4282056074766355
1,1.5B-Qwen25,0.45794392523364486,0.13327102803738317,0.44785046728971967,0.19588785046728974,0.027943925233644862,0.6375700934579439,0.052990654205607474,0.5104803738317757,0.42208224299065417
4,3B-Qwen25,0.5046728971962616,0.14953271028037382,0.45588785046728975,0.21663551401869158,0.03467289719626168,0.7554205607476635,0.06542056074766354,0.5028383177570094,0.4518355140186916
6,7B-Qwen25,0.6355140186915887,0.14457943925233646,0.4637383177570093,0.21130841121495328,0.0305607476635514,0.7060747663551402,0.0583177570093458,0.49734299065420556,0.41048224299065417
2,14B-Qwen25,0.6915887850467289,0.14233644859813085,0.47205607476635514,0.2105607476635514,0.028691588785046726,0.6923364485981308,0.05476635514018692,0.4882542056074767,0.41904485981308415
3,32B-Qwen25,0.8504672897196262,0.15925233644859813,0.4769158878504673,0.22962616822429907,0.03233644859813084,0.6776635514018692,0.0611214953271028,0.5035999999999999,0.41216355140186917
5,72B-Qwen25,0.897196261682243,0.1463551401869159,0.5307476635514019,0.2219626168224299,0.028130841121495328,0.7337383177570094,0.054112149532710284,0.48827289719626166,0.43002710280373835
