model,records,acc_rate,background_precision,background_recall,background_F1,question_precision,question_recall,question_F1,background_sim_score,question_sim_score,BLEU_1,BLEU_4,METEOR,ROUGE_1,ROUGE_2,ROUGE_L,ROUGE_LSum,BERTScore,BERTScore_avg_sent,BERTScore_max_sent
0.5B-Qwen25,125,0.288,0.1634,0.4447,0.2246,0.0346,0.6649,0.0633,0.5105,0.4234,0.02,0,0.095,0.05,0.014,0.043,0.043,0.449,0.533,0.654
1.5B-Qwen25,125,0.448,0.1342,0.4496,0.1968,0.0266,0.6404,0.0507,0.5079,0.4267,0.014,0.001,0.079,0.035,0.01,0.031,0.031,0.419,0.512,0.622
3B-Qwen25,125,0.488,0.1495,0.4606,0.217,0.0329,0.7553,0.0623,0.5073,0.4474,0.017,0.001,0.086,0.041,0.014,0.031,0.031,0.386,0.527,0.636
7B-Qwen25,125,0.600,0.1466,0.4699,0.2134,0.0297,0.7118,0.0568,0.4965,0.4075,0.017,0,0.072,0.036,0.007,0.031,0.031,0.39,0.528,0.615
14B-Qwen25,125,0.648,0.1442,0.4744,0.213,0.0277,0.7026,0.053,0.5008,0.4215,0.012,0.001,0.065,0.028,0.008,0.025,0.025,0.396,0.528,0.623
32B-Qwen25,125,0.784,0.1614,0.4843,0.2326,0.0308,0.6754,0.0585,0.5071,0.4113,0.014,0,0.07,0.034,0.004,0.027,0.027,0.381,0.525,0.605
72B-Qwen25,125,0.824,0.1496,0.5406,0.226,0.027,0.7421,0.052,0.4883,0.426,0.011,0.001,0.051,0.024,0.006,0.022,0.022,0.354,0.523,0.627
