,metric,pearson_corr,pearson_p,spearman_corr,spearman_p,kendall_corr,kendall_p
0,background_recall,0.18,0.0,0.181,0.0,0.132,0.0
3,bleu4,-0.017,0.625,0.091,0.007,0.073,0.007
1,ques_recall,0.06,0.078,0.081,0.017,0.064,0.017
5,rouge2,-0.045,0.183,-0.002,0.949,-0.003,0.911
7,meteor,-0.076,0.025,-0.06,0.074,-0.043,0.074
6,rougeL,-0.091,0.007,-0.088,0.009,-0.064,0.008
2,bleu1,-0.101,0.003,-0.106,0.002,-0.076,0.002
4,rouge1,-0.109,0.001,-0.113,0.001,-0.082,0.001
8,bertscore_f1,-0.213,0.0,-0.231,0.0,-0.166,0.0
