emb_t,tok_t,background_recall_corr1_pearson,background_recall_corr1_spearman,background_recall_corr1_kendall,ques_recall_corr1_pearson,ques_recall_corr1_spearman,ques_recall_corr1_kendall,background_recall_corr2_pb,ques_recall_corr2_pb,background_recall_corr3_pearson,background_recall_corr3_spearman,background_recall_corr3_kendall,ques_recall_corr3_pearson,ques_recall_corr3_spearman,ques_recall_corr3_kendall,background_recall_corr1_p_pearson,background_recall_corr1_p_spearman,background_recall_corr1_p_kendall,ques_recall_corr1_p_pearson,ques_recall_corr1_p_spearman,ques_recall_corr1_p_kendall,background_recall_corr2_p_pb,ques_recall_corr2_p_pb,background_recall_corr3_p_pearson,background_recall_corr3_p_spearman,background_recall_corr3_p_kendall,ques_recall_corr3_p_pearson,ques_recall_corr3_p_spearman,ques_recall_corr3_p_kendall
0.7,0.4,0.8942,0.9286,0.8095,0.5442,0.5357,0.4286,0.0833,0.0327,0.179,0.172,0.125,0.035,0.06,0.047,0.0066,0.0025,0.0107,0.2066,0.2152,0.2389,0.0137,0.3343,0.0,0.0,0.0,0.298,0.077,0.08
0.7,0.5,0.8998,0.9286,0.8095,0.4976,0.5357,0.4286,0.085,0.0085,0.183,0.176,0.128,0.035,0.047,0.037,0.0058,0.0025,0.0107,0.2558,0.2152,0.2389,0.0119,0.8026,0.0,0.0,0.0,0.304,0.162,0.168
0.7,0.6,0.8768,0.9286,0.8095,0.6045,0.6071,0.5238,0.099,0.0169,0.168,0.154,0.112,0.048,0.078,0.063,0.0096,0.0025,0.0107,0.1505,0.1482,0.1361,0.0034,0.6176,0.0,0.0,0.0,0.16,0.02,0.021
0.7,0.7,0.8463,0.8571,0.7143,0.6724,0.5357,0.4286,0.0971,0.0379,0.175,0.162,0.118,0.04,0.07,0.057,0.0163,0.0137,0.0302,0.0979,0.2152,0.2389,0.004,0.2631,0.0,0.0,0.0,0.242,0.037,0.039
0.75,0.0,0.7861,0.75,0.619,0.5883,0.5357,0.4286,0.065,0.0256,0.156,0.135,0.099,0.065,0.073,0.058,0.0361,0.0522,0.069,0.1648,0.2152,0.2389,0.0547,0.4502,0.0,0.0,0.0,0.055,0.03,0.031
0.75,0.1,0.8573,0.9286,0.8095,0.6472,0.6071,0.5238,0.0747,0.0368,0.177,0.164,0.12,0.057,0.07,0.055,0.0137,0.0025,0.0107,0.1161,0.1482,0.1361,0.0271,0.2768,0.0,0.0,0.0,0.093,0.039,0.04
0.75,0.2,0.874,0.9286,0.8095,0.6138,0.6429,0.619,0.0793,0.0366,0.177,0.169,0.123,0.054,0.067,0.052,0.0101,0.0025,0.0107,0.1427,0.1194,0.069,0.019,0.2801,0.0,0.0,0.0,0.108,0.049,0.051
0.75,0.3,0.8686,0.9286,0.8095,0.6124,0.6071,0.5238,0.076,0.0245,0.18,0.173,0.126,0.049,0.064,0.05,0.0112,0.0025,0.0107,0.1438,0.1482,0.1361,0.0246,0.4696,0.0,0.0,0.0,0.145,0.059,0.061
0.75,0.4,0.8857,0.9286,0.8095,0.5212,0.5357,0.4286,0.0812,0.0382,0.176,0.168,0.122,0.032,0.054,0.042,0.008,0.0025,0.0107,0.2303,0.2152,0.2389,0.0163,0.2586,0.0,0.0,0.0,0.347,0.112,0.118
0.75,0.5,0.8932,0.9286,0.8095,0.462,0.5357,0.4286,0.0836,0.014,0.181,0.173,0.126,0.031,0.042,0.033,0.0068,0.0025,0.0107,0.2967,0.2152,0.2389,0.0133,0.6802,0.0,0.0,0.0,0.364,0.22,0.227
